TOA5,Carmi,CR1000,70415,CR1000.Std.27.04,CPU:saint_albans_outer20170628.cr1,4226,PFL_Step,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,PFL_Counter,_CntRS232,_RS232Dpt,sensorParms(1),sensorParms(2),sensorParms(3),sensorParms(4),sensorParms(5),sensorParms(6),sensorParms(7),sensorParms(8),sensorParms(9),sensorParms(10),sensorParms(11),sensorParms(12),sensorParms(13),sensorParms(14),sensorParms(15),sensorParms(16),sensorParms(17),sensorParms(18),sensorParms(19)
TS,RN,,,,,,,,,,,,,,,ug/L,RFU,ug/L,RFU,,,,
,,,,,Temp,SpCond,Cond,Sal,pH,pH,Turbid,fDOM,fDOM,ODOsat,ODO mg/L,Chl,Chl,BGA PC,BGA PC,Depth,Cable Power,Battery,Vertical Position Meters
2020-07-12 10:12:35,41158,719,1,5.18,24.32,124.04,122.44,0.06,7.88,-59.62,2.19,17.26,5.83,80.53,6.74,4.29,1.08,0.45,0.44,5.18,12.11,5.55,5.18
2020-07-12 10:13:48,41159,719,1,5.71,23.85,124.35,121.62,0.06,7.72,-49.7,1.88,17.78,6,71.4,6.03,4.08,1.02,0.35,0.33,5.71,12.12,5.56,5.71
2020-07-12 10:15:01,41160,719,1,6.22,23.57,124.04,120.65,0.06,7.64,-44.78,1.65,18.31,6.18,66.44,5.64,3.5,0.88,0.22,0.2,6.22,12.12,5.55,6.22
2020-07-12 10:16:13,41161,719,1,6.71,23.4,124.29,120.49,0.06,7.59,-41.78,1.63,18.5,6.24,63.43,5.4,2.97,0.74,0.22,0.2,6.71,12.12,5.55,6.71
2020-07-12 10:17:26,41162,719,1,7.23,23.12,124.34,119.88,0.06,7.54,-39.21,1.53,18.99,6.41,60.2,5.15,3.42,0.86,0.23,0.22,7.23,12.12,5.55,7.23
2020-07-12 10:18:39,41163,719,1,7.71,22.76,125.54,120.17,0.06,7.46,-33.95,1.96,19.92,6.72,47.01,4.05,2.64,0.66,0.17,0.16,7.71,12.12,5.55,7.71
2020-07-12 10:19:51,41164,719,1,8.18,22.7,125.74,120.22,0.06,7.43,-32.64,2.27,19.91,6.72,45.05,3.88,2.69,0.67,0.15,0.13,8.18,12.02,5.55,8.18
2020-07-12 10:21:04,41165,719,1,8.67,20.87,133.52,122.99,0.06,7.31,-25.49,2.28,25.43,8.58,12.6,1.13,1.48,0.37,0.1,0.08,8.67,12.12,5.55,8.67
2020-07-12 11:01:37,41166,720,1,0.54,25.65,122.84,124.37,0.06,8.74,-111.24,4.29,15.38,5.19,103.98,8.49,7.4,1.85,1.25,1.24,0.53,11.88,5.55,0.54
2020-07-12 11:02:51,41167,720,1,1.21,25.64,122.84,124.34,0.06,8.73,-110.71,4.69,15.22,5.14,103.43,8.45,5.48,1.37,1.18,1.17,1.21,11.98,5.55,1.21
2020-07-12 11:04:03,41168,720,1,1.69,25.66,123.2,124.74,0.06,8.75,-111.67,4.2,15.25,5.15,103.84,8.48,3.74,0.94,1.21,1.2,1.69,12.06,5.55,1.69
2020-07-12 11:05:16,41169,720,1,2.19,25.61,123.3,124.73,0.06,8.68,-107.42,3.98,15.43,5.21,102.03,8.34,5.19,1.3,1.21,1.2,2.19,12.12,5.55,2.19
2020-07-12 11:06:29,41170,720,1,2.72,25.57,123.39,124.72,0.06,8.62,-104.25,4.28,15.51,5.23,100.9,8.25,6.05,1.52,1.2,1.19,2.72,12.12,5.55,2.72
2020-07-12 11:07:41,41171,720,1,3.19,25.49,123.51,124.66,0.06,8.53,-98.75,4.29,15.68,5.29,98.9,8.1,5.17,1.29,1.12,1.11,3.19,12.12,5.55,3.19
2020-07-12 11:08:54,41172,720,1,3.72,25.45,123.36,124.41,0.06,8.47,-95.02,4.08,15.69,5.3,97.86,8.02,5.08,1.27,1.07,1.06,3.72,11.98,5.55,3.72
2020-07-12 11:10:07,41173,720,1,4.21,25.33,123.55,124.32,0.06,8.33,-86.67,4.2,15.74,5.31,95.41,7.84,5.74,1.44,0.91,0.9,4.21,11.97,5.55,4.21
2020-07-12 11:11:19,41174,720,1,4.67,24.96,123.8,123.71,0.06,8.14,-75.08,3.11,16.46,5.56,90.44,7.48,4.97,1.24,0.69,0.68,4.67,11.95,5.55,4.67
2020-07-12 11:12:32,41175,720,1,5.19,24.21,123.83,121.96,0.06,7.84,-57.2,2.16,17.27,5.83,78.05,6.54,4.44,1.11,0.44,0.42,5.19,11.98,5.55,5.19
2020-07-12 11:13:45,41176,720,1,5.7,23.98,123.94,121.53,0.06,7.73,-50.71,2.09,17.74,5.99,72.85,6.13,4.72,1.18,0.39,0.38,5.7,11.99,5.56,5.7
2020-07-12 11:14:58,41177,720,1,6.21,23.67,123.86,120.71,0.06,7.65,-45.54,1.71,18.19,6.14,67.37,5.71,2.78,0.7,0.26,0.24,6.21,12.12,5.55,6.21
2020-07-12 11:16:11,41178,720,1,6.73,23.43,123.75,120.04,0.06,7.6,-42.36,1.36,18.69,6.31,63.25,5.38,3.04,0.76,0.24,0.22,6.73,12.12,5.55,6.73
2020-07-12 11:17:23,41179,720,1,7.21,23.07,124.02,119.45,0.06,7.54,-39.27,1.43,18.99,6.41,58.8,5.04,2.75,0.69,0.15,0.13,7.21,12.12,5.55,7.21
2020-07-12 11:18:35,41180,720,1,7.66,22.85,124.56,119.44,0.06,7.5,-36.4,1.66,19.44,6.56,53.52,4.6,2.64,0.66,0.16,0.14,7.66,12.12,5.55,7.66
2020-07-12 11:19:48,41181,720,1,8.21,22.05,128.64,121.4,0.06,7.38,-29.24,2.82,21.91,7.39,29.08,2.54,3.2,0.8,0.18,0.16,8.21,12.12,5.55,8.21
2020-07-12 11:21:00,41182,720,1,8.67,20.94,133.47,123.12,0.06,7.32,-25.57,2.39,25.49,8.6,12.57,1.12,2.2,0.55,0.11,0.09,8.67,12.12,5.55,8.67
2020-07-12 12:01:37,41183,721,1,0.51,25.69,123.72,125.36,0.06,8.78,-113.63,4.43,15.25,5.15,105.36,8.59,4.4,1.1,1.23,1.22,0.51,12.39,5.55,0.51
2020-07-12 12:02:51,41184,721,1,1.24,25.69,123.07,124.69,0.06,8.78,-113.5,4.72,15.01,5.07,104.88,8.56,5.01,1.26,1.19,1.18,1.24,12.39,5.55,1.24
