Line#,Date,"Wind Speed (S-WSB 10979906:10955814-1), m/s, Bree_met_5","Gust Speed (S-WSB 10979906:10955814-2), m/s, Bree_met_5","PAR (S-LIA 10979906:10962914-1), uE, Bree_met_5","Solar Radiation (S-LIB 10979906:10969905-1), W/m^2, Bree_met_5","Wind Direction (S-WDA 10979906:10969970-1), *, Bree_met_5","Pressure (S-BPB 10979906:10972867-1), mbar, Bree_met_5","Temperature (S-THB 10979906:10974876-1), *C, Bree_met_5","RH (S-THB 10979906:10974876-2), %, Bree_met_5","Dew Point (S-THB 10979906:10974876-3), *C, Bree_met_5"
1,07/01/20 00:00:00,1.0,1.5,34,13,336,"1,000.4",22.49,83.80,19.64
2,07/01/20 00:05:00,1.5,3.5,34,14,355,"1,000.5",22.56,83.00,19.55
3,07/01/20 00:10:00,3.0,4.0,39,17,1,"1,000.4",22.42,81.10,19.04
4,07/01/20 00:15:00,3.0,4.0,34,16,357,"1,000.3",22.25,82.60,19.17
5,07/01/20 00:20:00,4.0,5.0,29,13,6,"1,000.3",22.25,82.20,19.09
6,07/01/20 00:25:00,4.0,6.0,21,8,10,"1,000.4",22.18,81.10,18.81
7,07/01/20 00:30:00,4.0,6.0,19,7,11,"1,000.4",22.15,81.20,18.80
8,07/01/20 00:35:00,4.0,5.5,14,6,15,"1,000.4",22.13,80.80,18.70
9,07/01/20 00:40:00,3.5,5.0,11,4,10,"1,000.5",21.99,80.40,18.48
10,07/01/20 00:45:00,2.5,4.0,6,3,4,"1,000.6",21.89,81.00,18.51
11,07/01/20 00:50:00,2.0,3.0,4,2,10,"1,000.7",21.70,81.20,18.36
12,07/01/20 00:55:00,2.0,2.5,1,1,10,"1,000.6",21.65,82.40,18.55
13,07/01/20 01:00:00,2.0,3.0,1,1,11,"1,000.6",21.56,83.90,18.74
14,07/01/20 01:05:00,1.5,2.5,1,1,15,"1,000.5",21.46,82.60,18.40
15,07/01/20 01:10:00,1.5,2.5,1,1,20,"1,000.6",21.46,84.00,18.67
16,07/01/20 01:15:00,1.5,2.5,1,1,11,"1,000.7",21.49,83.30,18.56
17,07/01/20 01:20:00,1.5,2.5,1,1,347,"1,000.8",21.17,84.80,18.54
18,07/01/20 01:25:00,1.0,2.0,1,1,330,"1,000.8",20.96,85.40,18.44
19,07/01/20 01:30:00,1.0,2.0,1,1,326,"1,000.8",20.98,85.20,18.43
20,07/01/20 01:35:00,1.5,2.0,1,1,320,"1,000.9",20.91,86.00,18.51
21,07/01/20 01:40:00,2.0,3.0,1,1,326,"1,000.9",20.89,85.90,18.46
22,07/01/20 01:45:00,2.0,3.0,1,1,331,"1,001.1",20.75,86.40,18.42
23,07/01/20 01:50:00,1.5,2.5,1,1,345,"1,001.2",20.70,86.30,18.35
24,07/01/20 01:55:00,1.0,2.0,1,1,352,"1,001.2",20.65,86.40,18.32
25,07/01/20 02:00:00,1.5,2.0,1,1,357,"1,001.0",20.56,86.80,18.30
26,07/01/20 02:05:00,1.0,2.0,1,1,0,"1,000.9",20.56,86.90,18.32
27,07/01/20 02:10:00,1.0,2.5,1,1,354,"1,001.0",20.60,87.30,18.44
28,07/01/20 02:15:00,1.5,2.5,1,1,336,"1,000.9",20.41,87.60,18.31
29,07/01/20 02:20:00,2.0,3.0,1,1,337,"1,001.1",20.22,88.50,18.28
30,07/01/20 02:25:00,2.0,3.0,1,1,344,"1,000.7",20.36,88.90,18.50
31,07/01/20 02:30:00,2.0,3.5,1,1,336,"1,000.8",20.41,88.40,18.45
32,07/01/20 02:35:00,2.5,3.5,1,1,324,"1,000.8",20.34,87.70,18.26
33,07/01/20 02:40:00,3.0,4.0,1,1,329,"1,000.7",20.39,87.90,18.34
34,07/01/20 02:45:00,2.5,3.5,1,1,341,"1,000.6",20.27,88.80,18.39
