Line#,Date,"PAR (S-LIA 10979904:10962916-1), uE, Bree_met_3 (Hungerford Brook)","Wind Speed (S-WSB 10979904:10964419-1), m/s, Bree_met_3 (Hungerford Brook)","Gust Speed (S-WSB 10979904:10964419-2), m/s, Bree_met_3 (Hungerford Brook)","Rain (S-RGB 10979904:10968686-1), mm, Bree_met_3 (Hungerford Brook)","Solar Radiation (S-LIB 10979904:10969902-1), W/m^2, Bree_met_3 (Hungerford Brook)","Wind Direction (S-WDA 10979904:10969980-1), *, Bree_met_3 (Hungerford Brook)","Pressure (S-BPB 10979904:10972869-1), mbar, Bree_met_3 (Hungerford Brook)","Temperature (S-THB 10979904:10974877-1), *C, Bree_met_3 (Hungerford Brook)","RH (S-THB 10979904:10974877-2), %, Bree_met_3 (Hungerford Brook)","Dew Point (S-THB 10979904:10974877-3), *C, Bree_met_3 (Hungerford Brook)","Dew Point (S-THB 10979904:10974877-3), *C, Bree_met_3 (Hungerford Brook)"
1,07/01/20 00:00:00,54,0.0,0.0,0.0,22,175,"1,005.4",22.03,87.20,,19.83
2,07/01/20 00:05:00,39,0.0,0.0,0.0,14,175,"1,005.4",21.60,88.00,,19.56
3,07/01/20 00:10:00,31,0.0,0.0,0.0,12,175,"1,005.6",21.29,89.20,,19.47
4,07/01/20 00:15:00,24,0.0,0.0,0.0,11,175,"1,005.7",20.98,90.10,,19.32
5,07/01/20 00:20:00,21,0.0,0.0,0.0,11,175,"1,005.6",20.84,91.40,,19.41
6,07/01/20 00:25:00,21,0.0,0.0,0.0,12,175,"1,005.5",20.70,92.00,,19.38
7,07/01/20 00:30:00,14,0.0,0.0,0.0,7,175,"1,005.5",20.70,92.60,,19.48
8,07/01/20 00:35:00,9,0.0,0.5,0.0,4,175,"1,005.7",20.84,92.80,,19.66
9,07/01/20 00:40:00,9,0.0,0.0,0.0,4,175,"1,005.6",20.65,93.10,,19.52
10,07/01/20 00:45:00,6,0.0,0.0,0.0,3,175,"1,005.7",20.63,93.50,,19.57
11,07/01/20 00:50:00,4,0.0,0.0,0.0,2,175,"1,005.7",20.44,93.80,,19.43
12,07/01/20 00:55:00,1,0.0,0.0,0.0,1,175,"1,005.7",20.25,94.00,,19.27
13,07/01/20 01:00:00,1,0.0,0.5,0.0,1,175,"1,005.7",20.01,94.20,,19.07
14,07/01/20 01:05:00,1,0.0,0.5,0.0,1,175,"1,005.9",19.91,94.30,,18.99
15,07/01/20 01:10:00,1,0.0,0.0,0.0,1,175,"1,006.0",19.67,94.40,,18.77
16,07/01/20 01:15:00,1,0.0,0.0,0.0,1,175,"1,005.9",19.37,94.70,,18.52
17,07/01/20 01:20:00,1,0.0,0.0,0.0,1,175,"1,005.9",19.03,94.80,,18.20
18,07/01/20 01:25:00,1,0.0,0.0,0.0,1,175,"1,005.9",18.82,95.00,,18.02
19,07/01/20 01:30:00,1,0.0,0.0,0.0,1,175,"1,005.9",18.60,95.20,,17.84
20,07/01/20 01:35:00,1,0.0,0.0,0.0,1,175,"1,005.8",18.44,95.40,,17.71
21,07/01/20 01:40:00,1,0.0,1.0,0.0,1,175,"1,005.9",18.53,95.70,,17.86
22,07/01/20 01:45:00,1,0.0,1.0,0.0,1,173,"1,006.0",18.96,96.00,,18.33
23,07/01/20 01:50:00,1,0.5,1.5,0.0,1,161,"1,006.0",19.39,95.20,,18.63
24,07/01/20 01:55:00,1,0.0,1.0,0.0,1,160,"1,006.1",19.25,95.00,,18.45
